epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5095.33,0.7604,0.66241,1.10016,0.86187,0.73303,0.83492,0.67002,0.71431,0.64854,1.03531,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5257.91,0.76452,0.66586,1.10009,0.82991,0.74098,0.83182,0.67379,0.70425,0.64064,1.02731,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5424.04,0.75598,0.66065,1.09904,0.85183,0.74291,0.83723,0.67054,0.71863,0.65048,1.0393,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5588.17,0.75097,0.65397,1.09506,0.83156,0.75706,0.84411,0.67902,0.69938,0.63845,1.02688,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5753.93,0.74237,0.65083,1.08997,0.85893,0.74537,0.84653,0.68374,0.69561,0.62834,1.0203,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5919.85,0.7463,0.64806,1.09304,0.83635,0.77191,0.85184,0.69079,0.69198,0.62119,1.01784,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6083.78,0.74527,0.64105,1.09105,0.85356,0.74613,0.84075,0.67602,0.70035,0.63525,1.02839,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6249.79,0.74144,0.63533,1.08804,0.86643,0.74399,0.85081,0.69172,0.68409,0.61749,1.00841,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6414.9,0.73617,0.62436,1.08384,0.85658,0.75365,0.85163,0.69165,0.67854,0.60526,1.00537,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6578.26,0.73594,0.62734,1.08182,0.84718,0.75131,0.84444,0.68221,0.68886,0.63567,1.00889,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6739.53,0.73388,0.62265,1.07925,0.84474,0.75959,0.85186,0.69482,0.67693,0.60279,0.99964,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
